metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
dell_powerflex.api.can_connect,gauge,,,,Whether or not the PowerFlex Gateway API is reachable.,0,dell_powerflex,api can connect,,
dell_powerflex.system.capacity.in_use_in_kb,gauge,,kibibyte,,Total capacity in use across the system.,0,dell_powerflex,capacity in use,,
dell_powerflex.system.fixed_read_error_count,gauge,,,,Number of fixed read errors found during background scan.,0,dell_powerflex,fixed read error count,,
dell_powerflex.system.journaler_read_latency.num_occured,gauge,,,,Number of journaler read I/O operations in the sampling window.,0,dell_powerflex,journaler read latency occurrences,,
dell_powerflex.system.journaler_read_latency.num_seconds,gauge,,second,,Duration of the journaler read latency sampling window.,0,dell_powerflex,journaler read latency seconds,,
dell_powerflex.system.journaler_read_latency.total_weight_in_kb,gauge,,kibibyte,,Total weight of journaler read latency samples in the sampling window.,0,dell_powerflex,journaler read latency total weight,,
dell_powerflex.system.journaler_write_latency.num_occured,gauge,,,,Number of journaler write I/O operations in the sampling window.,0,dell_powerflex,journaler write latency occurrences,,
dell_powerflex.system.journaler_write_latency.num_seconds,gauge,,second,,Duration of the journaler write latency sampling window.,0,dell_powerflex,journaler write latency seconds,,
dell_powerflex.system.journaler_write_latency.total_weight_in_kb,gauge,,kibibyte,,Total weight of journaler write latency samples in the sampling window.,0,dell_powerflex,journaler write latency total weight,,
dell_powerflex.system.max_capacity.in_kb,gauge,,kibibyte,,Maximum usable capacity of the system.,0,dell_powerflex,max capacity,,
dell_powerflex.system.mdm_cluster.cluster_state,gauge,,,,State of the MDM cluster. Emitted as 1 with a cluster_state tag.,0,dell_powerflex,mdm cluster state,,
dell_powerflex.system.mdm_cluster.good_nodes,gauge,,,,Number of MDM nodes in good health.,0,dell_powerflex,mdm good nodes,,
dell_powerflex.system.mdm_cluster.good_replicas,gauge,,,,Number of MDM replicas in good health.,0,dell_powerflex,mdm good replicas,,
dell_powerflex.system.mdm_mode,gauge,,,,MDM cluster mode. Emitted as 1 with an mdm_mode tag.,0,dell_powerflex,mdm mode,,
dell_powerflex.system.num_dev_errors,gauge,,,,Number of device errors in the system.,0,dell_powerflex,device errors,,
dell_powerflex.system.num_of_mapped_to_all_volumes,gauge,,,,Number of volumes mapped to all SDCs.,0,dell_powerflex,volumes mapped to all,,
dell_powerflex.system.num_of_snapshots,gauge,,,,Number of snapshots in the system.,0,dell_powerflex,snapshots,,
dell_powerflex.system.num_of_unmapped_volumes,gauge,,,,Number of unmapped volumes in the system.,0,dell_powerflex,unmapped volumes,,
dell_powerflex.system.num_sdr_sdc_disconnections,gauge,,,,Number of SDR-SDC disconnections.,0,dell_powerflex,sdr sdc disconnections,,
dell_powerflex.system.num_sds_reconnections,gauge,,,,Number of SDS reconnections.,0,dell_powerflex,sds reconnections,,
dell_powerflex.system.num_sds_sdr_disconnections,gauge,,,,Number of SDS-SDR disconnections.,0,dell_powerflex,sds sdr disconnections,,
dell_powerflex.system.overall_usage_ratio,gauge,,fraction,,Overall capacity usage ratio of the system.,0,dell_powerflex,overall usage ratio,,
dell_powerflex.system.rfcache.read_hit,gauge,,,,Number of RF cache read hits.,0,dell_powerflex,rfcache read hits,,
dell_powerflex.system.rfcache.read_miss,gauge,,,,Number of RF cache read misses.,0,dell_powerflex,rfcache read misses,,
dell_powerflex.system.rfcache.reads_received,gauge,,,,Number of read requests received by the RF cache.,0,dell_powerflex,rfcache reads received,,
dell_powerflex.system.rfcache.write_hit,gauge,,,,Number of RF cache write hits.,0,dell_powerflex,rfcache write hits,,
dell_powerflex.system.rfcache.write_miss,gauge,,,,Number of RF cache write misses.,0,dell_powerflex,rfcache write misses,,
dell_powerflex.system.rfcache.writes_received,gauge,,,,Number of write requests received by the RF cache.,0,dell_powerflex,rfcache writes received,,
dell_powerflex.system.rmcache.size_in_kb,gauge,,kibibyte,,Total size of the RAM read cache.,0,dell_powerflex,rmcache size,,
dell_powerflex.system.rmcache.size_in_use_in_kb,gauge,,kibibyte,,RAM read cache capacity currently in use.,0,dell_powerflex,rmcache size in use,,
dell_powerflex.system.snap_capacity.in_use_in_kb,gauge,,kibibyte,,Snapshot capacity in use.,0,dell_powerflex,snap capacity in use,,
dell_powerflex.system.snapshot.capacity_in_kb,gauge,,kibibyte,,Total capacity allocated for snapshots.,0,dell_powerflex,snapshot capacity,,
dell_powerflex.system.spare_capacity.in_kb,gauge,,kibibyte,,Spare capacity reserved in the system.,0,dell_powerflex,spare capacity,,
dell_powerflex.system.target_write_latency.num_occured,gauge,,,,Number of target write I/O operations in the sampling window.,0,dell_powerflex,target write latency occurrences,,
dell_powerflex.system.target_write_latency.num_seconds,gauge,,second,,Duration of the target write latency sampling window.,0,dell_powerflex,target write latency seconds,,
dell_powerflex.system.target_write_latency.total_weight_in_kb,gauge,,kibibyte,,Total weight of target write latency samples in the sampling window.,0,dell_powerflex,target write latency total weight,,
dell_powerflex.system.thick_capacity.in_use_in_kb,gauge,,kibibyte,,Thick-provisioned capacity in use.,0,dell_powerflex,thick capacity in use,,
dell_powerflex.system.thin_capacity.in_use_in_kb,gauge,,kibibyte,,Thin-provisioned capacity in use.,0,dell_powerflex,thin capacity in use,,
dell_powerflex.system.unused_capacity.in_kb,gauge,,kibibyte,,Unused capacity available in the system.,0,dell_powerflex,unused capacity,,
dell_powerflex.system.user_data.capacity_in_kb,gauge,,kibibyte,,Capacity consumed by user data.,0,dell_powerflex,user data capacity,,
dell_powerflex.system.user_data_read_bwc.num_occured,gauge,,,,Number of user data read I/O operations in the sampling window.,0,dell_powerflex,user data read occurrences,,
dell_powerflex.system.user_data_read_bwc.num_seconds,gauge,,second,,Duration of the user data read sampling window.,0,dell_powerflex,user data read seconds,,
dell_powerflex.system.user_data_read_bwc.total_weight_in_kb,gauge,,kibibyte,,Total user data read bandwidth in the sampling window.,0,dell_powerflex,user data read bandwidth,,
dell_powerflex.system.user_data_sdc_read_latency.num_occured,gauge,,,,Number of SDC read I/O operations in the sampling window.,0,dell_powerflex,sdc read latency occurrences,,
dell_powerflex.system.user_data_sdc_read_latency.num_seconds,gauge,,second,,Duration of the SDC read latency sampling window.,0,dell_powerflex,sdc read latency seconds,,
dell_powerflex.system.user_data_sdc_read_latency.total_weight_in_kb,gauge,,kibibyte,,Total weight of SDC read latency samples in the sampling window.,0,dell_powerflex,sdc read latency total weight,,
dell_powerflex.system.user_data_sdc_trim_latency.num_occured,gauge,,,,Number of SDC trim I/O operations in the sampling window.,0,dell_powerflex,sdc trim latency occurrences,,
dell_powerflex.system.user_data_sdc_trim_latency.num_seconds,gauge,,second,,Duration of the SDC trim latency sampling window.,0,dell_powerflex,sdc trim latency seconds,,
dell_powerflex.system.user_data_sdc_trim_latency.total_weight_in_kb,gauge,,kibibyte,,Total weight of SDC trim latency samples in the sampling window.,0,dell_powerflex,sdc trim latency total weight,,
dell_powerflex.system.user_data_sdc_write_latency.num_occured,gauge,,,,Number of SDC write I/O operations in the sampling window.,0,dell_powerflex,sdc write latency occurrences,,
dell_powerflex.system.user_data_sdc_write_latency.num_seconds,gauge,,second,,Duration of the SDC write latency sampling window.,0,dell_powerflex,sdc write latency seconds,,
dell_powerflex.system.user_data_sdc_write_latency.total_weight_in_kb,gauge,,kibibyte,,Total weight of SDC write latency samples in the sampling window.,0,dell_powerflex,sdc write latency total weight,,
dell_powerflex.system.user_data_trim_bwc.num_occured,gauge,,,,Number of user data trim I/O operations in the sampling window.,0,dell_powerflex,user data trim occurrences,,
dell_powerflex.system.user_data_trim_bwc.num_seconds,gauge,,second,,Duration of the user data trim sampling window.,0,dell_powerflex,user data trim seconds,,
dell_powerflex.system.user_data_trim_bwc.total_weight_in_kb,gauge,,kibibyte,,Total user data trim bandwidth in the sampling window.,0,dell_powerflex,user data trim bandwidth,,
dell_powerflex.system.user_data_write_bwc.num_occured,gauge,,,,Number of user data write I/O operations in the sampling window.,0,dell_powerflex,user data write occurrences,,
dell_powerflex.system.user_data_write_bwc.num_seconds,gauge,,second,,Duration of the user data write sampling window.,0,dell_powerflex,user data write seconds,,
dell_powerflex.system.user_data_write_bwc.total_weight_in_kb,gauge,,kibibyte,,Total user data write bandwidth in the sampling window.,0,dell_powerflex,user data write bandwidth,,
