metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
mysql.info.schema.size,gauge,,mebibyte,,"Size of schemas in MiB",0,mysql,mysql schema size
mysql.galera.wsrep_cluster_size,gauge,,node,,The current number of nodes in the Galera cluster.,0,mysql,galera cluster size
mysql.innodb.buffer_pool_free,gauge,,page,,The number of free pages in the InnoDB Buffer Pool.,1,mysql,innodb buf pool free
mysql.innodb.buffer_pool_total,gauge,,page,,The total number of pages in the InnoDB Buffer Pool.,0,mysql,innodb buf pool total
mysql.innodb.buffer_pool_used,gauge,,page,,The number of used pages in the InnoDB Buffer Pool.,-1,mysql,innodb buf pool used
mysql.innodb.buffer_pool_utilization,gauge,,fraction,,The utilization of the InnoDB Buffer Pool.,-1,mysql,innodb buf pool usage
mysql.innodb.current_row_locks,gauge,,lock,,The number of current row locks.,-1,mysql,current row locks
mysql.innodb.data_reads,gauge,,read,second,The rate of data reads.,0,mysql,data reads
mysql.innodb.data_writes,gauge,,write,second,The rate of data writes.,0,mysql,data writes
mysql.innodb.mutex_os_waits,gauge,,event,second,The rate of mutex OS waits.,0,mysql,mutex os waits
mysql.innodb.mutex_spin_rounds,gauge,,event,second,The rate of mutex spin rounds.,0,mysql,mutex spin rounds
mysql.innodb.mutex_spin_waits,gauge,,event,second,The rate of mutex spin waits.,0,mysql,mutex spin waits
mysql.innodb.os_log_fsyncs,gauge,,write,second,The rate of fsync writes to the log file.,0,mysql,log fsyncs
mysql.innodb.row_lock_time,gauge,,fraction,,Fraction of time spent (ms/s) acquiring row locks.,-1,mysql,row lock time
mysql.innodb.row_lock_waits,gauge,,event,second,The number of times per second a row lock had to be waited for.,0,mysql,innodb row lock waits
mysql.net.connections,gauge,,connection,second,The rate of connections to the server.,0,mysql,conns per s
mysql.net.max_connections,gauge,,connection,,The maximum number of connections that have been in use simultaneously since the server started.,-1,mysql,max used conn
mysql.net.max_connections_available,gauge,,connection,,The maximum permitted number of simultaneous client connections.,-1,mysql,max used conn avail
mysql.performance.com_delete,gauge,,query,second,The rate of delete statements.,0,mysql,deletes
mysql.performance.com_delete_multi,gauge,,query,second,The rate of delete-multi statements.,0,mysql,delete multi
mysql.performance.com_insert,gauge,,query,second,The rate of insert statements.,0,mysql,inserts
mysql.performance.com_insert_select,gauge,,query,second,The rate of insert-select statements.,0,mysql,insrt select
mysql.performance.com_replace_select,gauge,,query,second,The rate of replace-select statements.,0,mysql,replc select
mysql.performance.com_select,gauge,,query,second,The rate of select statements.,0,mysql,selects
mysql.performance.com_update,gauge,,query,second,The rate of update statements.,0,mysql,updates
mysql.performance.com_update_multi,gauge,,query,second,The rate of update-multi.,0,mysql,update multi
mysql.performance.created_tmp_disk_tables,gauge,,table,second,The rate of internal on-disk temporary tables created by second by the server while executing statements.,-1,mysql,disk tmp tables created
mysql.performance.created_tmp_files,gauge,,file,second,The rate of temporary files created by second.,-1,mysql,tmp files created
mysql.performance.created_tmp_tables,gauge,,table,second,The rate of internal temporary tables created by second by the server while executing statements.,0,mysql,tmp tables created
mysql.performance.kernel_time,gauge,,percent,,Percentage of CPU time spent in kernel space by MySQL.,-1,mysql,cpu kernel
mysql.performance.key_cache_utilization,gauge,,fraction,,The key cache utilization ratio.,1,mysql,key cache utilization
mysql.performance.open_files,gauge,,file,,The number of open files.,0,mysql,open files
mysql.performance.open_tables,gauge,,table,,The number of of tables that are open.,0,mysql,open tables
mysql.performance.qcache_hits,gauge,,hit,second,The rate of query cache hits.,0,mysql,query cache hits
mysql.performance.questions,gauge,,query,second,The rate of statements executed by the server.,0,mysql,questions
mysql.performance.slow_queries,gauge,,query,second,The rate of slow queries.,-1,mysql,slow queries
mysql.performance.table_locks_waited,gauge,,,,The total number of times that a request for a table lock could not be granted immediately and a wait was needed.,-1,mysql,table locks waited
mysql.performance.threads_connected,gauge,,connection,,The number of currently open connections.,0,mysql,threads connected
mysql.performance.threads_running,gauge,,thread,,The number of threads that are not sleeping.,0,mysql,threads running
mysql.performance.user_time,gauge,,percent,,Percentage of CPU time spent in user space by MySQL.,-1,mysql,cpu user
mysql.replication.seconds_behind_master,gauge,,second,,The lag in seconds between the master and the slave.,-1,mysql,replication lag
mysql.replication.slave_running,gauge,,,,A boolean showing if this server is a replication slave that is connected to a replication master.,0,mysql,slave running
mysql.replication.slaves_connected,gauge,,,,Number of slaves connected to a replication master.,0,mysql,slaves connected
mysql.performance.queries,gauge,,query,second,The rate of queries.,0,mysql,queries
mysql.performance.com_replace,gauge,,query,second,The rate of replace statements.,0,mysql,mysql performance com_replace
mysql.performance.com_load,gauge,,query,second,The rate of load statements.,0,mysql,mysql performance com_load
