metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
nifi.can_connect,gauge,,,,Whether the check can reach and authenticate with the NiFi API. 1 = OK 0 = unreachable.,1,nifi,,
nifi.cluster.connected_node_count,gauge,,node,,Number of nodes currently connected to the cluster.,1,nifi,,
nifi.cluster.total_node_count,gauge,,node,,Total number of nodes in the cluster.,0,nifi,,
nifi.cluster.is_healthy,gauge,,,,Whether all cluster nodes are connected. 1 = all connected 0 = degraded.,1,nifi,,
nifi.system.jvm.heap_used,gauge,,byte,,Current JVM heap memory used.,-1,nifi,,
nifi.system.jvm.heap_max,gauge,,byte,,Maximum JVM heap memory.,0,nifi,,
nifi.system.jvm.heap_utilization,gauge,,percent,,JVM heap usage percentage.,-1,nifi,,
nifi.system.jvm.non_heap_used,gauge,,byte,,Current JVM non-heap memory used.,-1,nifi,,
nifi.system.jvm.total_threads,gauge,,thread,,Total JVM thread count.,0,nifi,,
nifi.system.jvm.daemon_threads,gauge,,thread,,Daemon thread count.,0,nifi,,
nifi.system.cpu.load_average,gauge,,,,System processor load average.,-1,nifi,,
nifi.system.cpu.available_processors,gauge,,,,Number of available processors.,0,nifi,,
nifi.system.gc.collection_count,count,,,,GC collection count.,0,nifi,,
nifi.system.gc.collection_time,count,,millisecond,,GC collection time.,0,nifi,,
nifi.system.flowfile_repo.used_space,gauge,,byte,,FlowFile repository used space.,-1,nifi,,
nifi.system.flowfile_repo.free_space,gauge,,byte,,FlowFile repository free space.,1,nifi,,
nifi.system.flowfile_repo.utilization,gauge,,percent,,FlowFile repository utilization.,-1,nifi,,
nifi.system.content_repo.used_space,gauge,,byte,,Content repository used space.,-1,nifi,,
nifi.system.content_repo.free_space,gauge,,byte,,Content repository free space.,1,nifi,,
nifi.system.content_repo.utilization,gauge,,percent,,Content repository utilization.,-1,nifi,,
nifi.system.provenance_repo.used_space,gauge,,byte,,Provenance repository used space.,-1,nifi,,
nifi.system.provenance_repo.free_space,gauge,,byte,,Provenance repository free space.,1,nifi,,
nifi.system.provenance_repo.utilization,gauge,,percent,,Provenance repository utilization.,-1,nifi,,
