metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
temporal.server.service.requests.count,count,,,,,0,temporal,service requests count,
temporal.server.service.pending_requests,gauge,,,,,0,temporal,service pending requests,
temporal.server.service.errors.count,count,,,,,0,temporal,service errors count,
temporal.server.service.error_with_type.count,count,,,,,0,temporal,service error with type count,
temporal.server.service.errors.resource_exhausted.count,count,,,,,0,temporal,service errors resource exhausted count,
temporal.server.service.panics.count,count,,,,,0,temporal,service panics count,
temporal.server.service.errors.invalid_argument.count,count,,,,,0,temporal,service errors invalid argument count,
temporal.server.service.errors.namespace_not_active.count,count,,,,,0,temporal,service errors namespace not active count,
temporal.server.service.errors.entity_not_found.count,count,,,,,0,temporal,service errors entity not found count,
temporal.server.service.errors.execution_already_started.count,count,,,,,0,temporal,service errors execution already started count,
temporal.server.service.errors.context_timeout.count,count,,,,,0,temporal,service errors context timeout count,
temporal.server.service.errors.retry_task.count,count,,,,,0,temporal,service errors retry task count,
temporal.server.service.errors.incomplete_history.count,count,,,,,0,temporal,service errors incomplete history count,
temporal.server.service.errors.nondeterministic.count,count,,,,,0,temporal,service errors nondeterministic count,
temporal.server.service.errors.unauthorized.count,count,,,,,0,temporal,service errors unauthorized count,
temporal.server.service.errors.authorize_failed.count,count,,,,,0,temporal,service errors authorize failed count,
temporal.server.service.latency.bucket,count,,,,,0,temporal,service latency bucket,
temporal.server.service.latency.count,count,,,,,0,temporal,service latency count,
temporal.server.service.latency.sum,count,,millisecond,,,0,temporal,service latency sum,
temporal.server.service.latency.nouserlatency.bucket,count,,,,,0,temporal,service latency nouserlatency bucket,
temporal.server.service.latency.nouserlatency.count,count,,,,,0,temporal,service latency nouserlatency count,
temporal.server.service.latency.nouserlatency.sum,count,,millisecond,,,0,temporal,service latency nouserlatency sum,
temporal.server.service.latency.userlatency.bucket,count,,,,,0,temporal,service latency userlatency bucket,
temporal.server.service.latency.userlatency.count,count,,,,,0,temporal,service latency userlatency count,
temporal.server.service.latency.userlatency.sum,count,,millisecond,,,0,temporal,service latency userlatency sum,
temporal.server.action.count,count,,,,,0,temporal,action count,
temporal.server.certificates.expired,gauge,,,,,0,temporal,certificates expired,
temporal.server.certificates.expiring,gauge,,,,,0,temporal,certificates expiring,
temporal.server.service.authorization_latency.bucket,count,,,,,0,temporal,service authorization latency bucket,
temporal.server.service.authorization_latency.count,count,,,,,0,temporal,service authorization latency count,
temporal.server.service.authorization_latency.sum,count,,millisecond,,,0,temporal,service authorization latency sum,
temporal.server.event.blob_size.bucket,count,,,,,0,temporal,event blob size bucket,
temporal.server.event.blob_size.count,count,,,,,0,temporal,event blob size count,
temporal.server.event.blob_size.sum,count,,byte,,,0,temporal,event blob size sum,
temporal.server.lock.requests.count,count,,,,,0,temporal,lock requests count,
temporal.server.lock.latency.bucket,count,,,,,0,temporal,lock latency bucket,
temporal.server.lock.latency.count,count,,,,,0,temporal,lock latency count,
temporal.server.lock.latency.sum,count,,millisecond,,,0,temporal,lock latency sum,
temporal.server.client.requests.count,count,,,,,0,temporal,client requests count,
temporal.server.client.errors.count,count,,,,,0,temporal,client errors count,
temporal.server.client.latency.bucket,count,,,,,0,temporal,client latency bucket,
temporal.server.client.latency.count,count,,,,,0,temporal,client latency count,
temporal.server.client.latency.sum,count,,millisecond,,,0,temporal,client latency sum,
temporal.server.client.redirection.requests.count,count,,,,,0,temporal,client redirection requests count,
temporal.server.client.redirection.errors.count,count,,,,,0,temporal,client redirection errors count,
temporal.server.client.redirection.latency.bucket,count,,,,,0,temporal,client redirection latency bucket,
temporal.server.client.redirection.latency.count,count,,,,,0,temporal,client redirection latency count,
temporal.server.client.redirection.latency.sum,count,,millisecond,,,0,temporal,client redirection latency sum,
temporal.server.state_transition.bucket,count,,,,,0,temporal,state transition bucket,
temporal.server.state_transition.count,count,,,,,0,temporal,state transition count,
temporal.server.state_transition.sum,count,,,,,0,temporal,state transition sum,
temporal.server.history.size.bucket,count,,,,,0,temporal,history size bucket,
temporal.server.history.size.count,count,,,,,0,temporal,history size count,
temporal.server.history.size.sum,count,,byte,,,0,temporal,history size sum,
temporal.server.history.bucket,count,,,,,0,temporal,history bucket,
temporal.server.history.count,count,,,,,0,temporal,history count,
temporal.server.history.sum,count,,,,,0,temporal,history sum,
temporal.server.search_attributes_size.bucket,count,,,,,0,temporal,search attributes size bucket,
temporal.server.search_attributes_size.count,count,,,,,0,temporal,search attributes size count,
temporal.server.search_attributes_size.sum,count,,byte,,,0,temporal,search attributes size sum,
temporal.server.memo_size.bucket,count,,,,,0,temporal,memo size bucket,
temporal.server.memo_size.count,count,,,,,0,temporal,memo size count,
temporal.server.memo_size.sum,count,,byte,,,0,temporal,memo size sum,
temporal.server.wf_too_many_pending.child_workflows.count,count,,,,,0,temporal,wf too many pending child workflows count,
temporal.server.wf_too_many_pending.activities.count,count,,,,,0,temporal,wf too many pending activities count,
temporal.server.wf_too_many_pending.cancel_requests.count,count,,,,,0,temporal,wf too many pending cancel requests count,
temporal.server.wf_too_many_pending.external_workflow_signals.count,count,,,,,0,temporal,wf too many pending external workflow signals count,
temporal.server.add_search_attributes.workflow_success.count,count,,,,,0,temporal,add search attributes workflow success count,
"temporal.server.{'name': 'add_search_attributes.workflow_failure', 'type': 'native_dynamic'}.count",count,,,,,0,temporal,"{'name': 'add search attributes workflow failure', 'type': 'native dynamic'} count",
temporal.server.version_check.success.count,count,,,,,0,temporal,version check success count,
temporal.server.version_check.failed.count,count,,,,,0,temporal,version check failed count,
temporal.server.version_check.request_failed.count,count,,,,,0,temporal,version check request failed count,
temporal.server.version_check.latency.bucket,count,,,,,0,temporal,version check latency bucket,
temporal.server.version_check.latency.count,count,,,,,0,temporal,version check latency count,
temporal.server.version_check.latency.sum,count,,millisecond,,,0,temporal,version check latency sum,
temporal.server.cache.requests.count,count,,,,,0,temporal,cache requests count,
temporal.server.cache.errors.count,count,,,,,0,temporal,cache errors count,
temporal.server.cache.latency.bucket,count,,,,,0,temporal,cache latency bucket,
temporal.server.cache.latency.count,count,,,,,0,temporal,cache latency count,
temporal.server.cache.latency.sum,count,,millisecond,,,0,temporal,cache latency sum,
temporal.server.cache.miss.count,count,,,,,0,temporal,cache miss count,
temporal.server.cache.size,gauge,,,,,0,temporal,cache size,
temporal.server.cache.usage,gauge,,,,,0,temporal,cache usage,
temporal.server.cache.pinned_usage,gauge,,,,,0,temporal,cache pinned usage,
temporal.server.cache.ttl.bucket,count,,,,,0,temporal,cache ttl bucket,
temporal.server.cache.ttl.count,count,,,,,0,temporal,cache ttl count,
temporal.server.cache.ttl.sum,count,,millisecond,,,0,temporal,cache ttl sum,
temporal.server.cache.entry_age_on_get.bucket,count,,,,,0,temporal,cache entry age on get bucket,
temporal.server.cache.entry_age_on_get.count,count,,,,,0,temporal,cache entry age on get count,
temporal.server.cache.entry_age_on_get.sum,count,,millisecond,,,0,temporal,cache entry age on get sum,
temporal.server.cache.entry_age_on_eviction.bucket,count,,,,,0,temporal,cache entry age on eviction bucket,
temporal.server.cache.entry_age_on_eviction.count,count,,,,,0,temporal,cache entry age on eviction count,
temporal.server.cache.entry_age_on_eviction.sum,count,,millisecond,,,0,temporal,cache entry age on eviction sum,
temporal.server.history.event_notification.queueing_latency.bucket,count,,,,,0,temporal,history event notification queueing latency bucket,
temporal.server.history.event_notification.queueing_latency.count,count,,,,,0,temporal,history event notification queueing latency count,
temporal.server.history.event_notification.queueing_latency.sum,count,,millisecond,,,0,temporal,history event notification queueing latency sum,
temporal.server.history.event_notification.fanout_latency.bucket,count,,,,,0,temporal,history event notification fanout latency bucket,
temporal.server.history.event_notification.fanout_latency.count,count,,,,,0,temporal,history event notification fanout latency count,
temporal.server.history.event_notification.fanout_latency.sum,count,,millisecond,,,0,temporal,history event notification fanout latency sum,
temporal.server.history.event_notification.inflight_message,gauge,,,,,0,temporal,history event notification inflight message,
temporal.server.history.event_notification.fail_delivery.count,count,,,,,0,temporal,history event notification fail delivery count,
temporal.server.archival.task_invalid_uri.count,count,,,,,0,temporal,archival task invalid uri count,
temporal.server.archiver.archive.latency.bucket,count,,,,,0,temporal,archiver archive latency bucket,
temporal.server.archiver.archive.latency.count,count,,,,,0,temporal,archiver archive latency count,
