metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
aerospike.aggr_scans_failed,gauge,,,,[Legacy] The number of scans aborted. Deprecated since 3.9,0,aerospike,Scans Failed,
aerospike.aggr_scans_succeeded,gauge,,,,[Legacy] The number of aggregation scans that completed successfully. Deprecated since 3.9,0,aerospike,Scans Succeeded,
aerospike.basic_scans_failed,gauge,,,,[Legacy] The number of basic scans that failed. Deprecated since 3.9,0,aerospike,,
aerospike.basic_scans_succeeded,gauge,,,,[Legacy] The number of basic scans that completed successfully. Deprecates since 3.9,0,aerospike,,
aerospike.batch_error,gauge,,,,[Legacy] The number of batch direct requests that were rejected because of errors.,0,aerospike,,
aerospike.batch_errors,gauge,,,,[Legacy] The number of batch direct requests that were rejected because of errors. Deprecated since 3.9,0,aerospike,,
aerospike.batch_index_complete,gauge,,,,[Legacy] The number of batch index requests completed.,0,aerospike,,
aerospike.batch_index_created_buffers,gauge,,,,[Legacy] The number of 128KB response buffers created.,0,aerospike,,
aerospike.batch_index_delay,gauge,,,,[Legacy] The number of times a batch index response buffer has been delayed (WOULDBLOCK on the send).,0,aerospike,,
aerospike.batch_index_destroyed_buffers,gauge,,,,[Legacy] The number of 128KB response buffers destroyed.,0,aerospike,,
aerospike.batch_index_error,gauge,,,,[Legacy] The number of batch index requests that were rejected because of errors.,0,aerospike,,
aerospike.batch_index_errors,gauge,,,,[Legacy] The number of batch index requests that were rejected because of errors. Deprecated since 3.9,0,aerospike,,
aerospike.batch_index_huge_buffers,gauge,,,,[Legacy] The number temporary response buffers created that exceeded 128KB.,0,aerospike,,
aerospike.batch_index_initiate,gauge,,,,[Legacy] The number of batch index requests received.,0,aerospike,,
aerospike.batch_index_proto_compression_ratio,gauge,,,,[Legacy] This measures the average compressed size to uncompressed size ratio for protocol message data in batch index responses.,0,aerospike,,
aerospike.batch_index_proto_uncompressed_pct,gauge,,percent,,[Legacy] This measures the percentage of batch index responses with uncompressed protocol message data.,0,aerospike,,
aerospike.batch_index_timeout,gauge,,,,[Legacy] The number of batch index requests that timed-out on the server before being processed.,0,aerospike,,
aerospike.batch_index_unused_buffers,gauge,,,,[Legacy] The number of available 128 KB response buffers currently in buffer pool.,0,aerospike,,
aerospike.batch_initiate,gauge,,,,[Legacy] The number of batch direct requests received.,0,aerospike,,
aerospike.batch_queue,gauge,,,,[Legacy] The number of batch direct requests remaining on the queue awaiting processing.,0,aerospike,,
aerospike.batch_timeout,gauge,,,,[Legacy] The number of batch direct requests that timed-out on the server before being processed.,0,aerospike,,
aerospike.batch_tree_count,gauge,,,,[Legacy] The number of tree lookups for all batch direct requests. Deprecated since 3.9,0,aerospike,,
